Product_id,Sales_USD,quantity,Price_USD,COGS_USD,Date_Time,Account_id,Gross_Profit,Profit_Margin,Product_Family,Product_Family_Id,Product_Group,Product_Group_id,Product_Name,Product_Name_id,Product_Size,Produt_Type,country_code,Account,Master_id,latitude2,longitude,country2,Postal_code,street_name,Street_number
2625,16156.56,502.0,32.18438247,14104.67688,2024-03-29,1599-E6G-78670,2051.8831199999986,12.699999999999992,Onagraceae,1122,New Mexico Beeblossom,3600,"Lycopodium hickeyi W.H. Wagner, Beitel & Moran",2625,Medium,Landscape,CA,"Gerlach, Cassin and Parker",1599,45.9891389,-67.2412221,Canada,E6G,Oneill,78670
2569,13831.29,679.92,20.34252559,10470.28653,2022-07-13,1227--40,3361.0034700000015,24.30000000000001,Myrtaceae,1117,Mountainbay,3577,Allium cernuum Roth var. neomexicanum (Rydb.) J.F. Macbr.,2569,Large,Indoor,CN,Ziemann LLC,1227,37.943121,115.217658,China,0,Kipling,40
2195,17402.14,925.66,18.79971048,10528.2947,2023-04-05,1857--758,6873.845299999999,39.49999999999999,Capparaceae,1037,Falseteeth,3238,Cuscuta epithymum (L.) L.,2195,Small,Indoor,CN,"Medhurst, Aufderhar and Mosciski",1857,26.170171,118.190467,China,0,Glendale,758
2530,15866.42,809.78,19.59349453,12883.53304,2022-09-24,1793-6140-77,2982.88696,18.8,Polygonaceae,1143,Waldo Buckwheat,3749,Penstemon davidsonii Greene var. menziesii (D.D. Keck) Cronquist,2530,Large,Landscape,AR,Larson-Fritsch,1793,-33.9162938,-64.3897946,Argentina,6140,Manley,77
2889,6200.48,311.43,19.90970684,5388.21712,2023-10-19,1725-40230-69,812.2628799999993,13.099999999999989,Fabaceae,1066,Arcane Milkvetch,3369,Chaerophyllum bulbosum L.,2889,Large,Outdoor,MX,Jast-Quigley,1725,18.5591814,-99.5982999,Mexico,40230,Leroy,69
2889,6200.48,311.43,19.90970684,5388.21712,2023-10-19,1725-40230-69,812.2628799999993,13.099999999999989,Fabaceae,1066,Arcane Milkvetch,3369,Chaerophyllum bulbosum L.,2889,Large,Outdoor,MX,Jast-Quigley,1725,18.5591814,-99.5982999,Mexico,40230,Leroy,69
2917,12922.96,765.03,16.89209573,7469.47088,2023-07-14,1381-52120-1971,5453.489119999999,42.199999999999996,Fabaceae,1066,Arctic Locoweed,3370,Oxypolis filiformis (Walter) Britton,2917,Large,Outdoor,TH,Swift Group,1381,18.2868231,99.4819782,Thailand,52120,Coolidge,1971
2917,12922.96,765.03,16.89209573,7469.47088,2023-07-14,1381-52120-1971,5453.489119999999,42.199999999999996,Fabaceae,1066,Arctic Locoweed,3370,Oxypolis filiformis (Walter) Britton,2917,Large,Outdoor,TH,Swift Group,1381,18.2868231,99.4819782,Thailand,52120,Coolidge,1971
2842,7341.82,655.26,11.20443793,5014.46306,2022-07-20,1175-763029-6614,2327.3569399999997,31.699999999999996,Onagraceae,1122,Small Enchanter's Nightshade,3602,Phemeranthus parviflorus (Nutt.) Kiger,2842,Small,Indoor,CO,"Batz, Weber and Stamm",1175,3.9878168,-75.946324,Colombia,763029,Kennedy,6614
2842,7341.82,655.26,11.20443793,5014.46306,2022-07-20,1175-763029-6614,2327.3569399999997,31.699999999999996,Onagraceae,1122,Small Enchanter's Nightshade,3602,Phemeranthus parviflorus (Nutt.) Kiger,2842,Small,Indoor,CO,"Batz, Weber and Stamm",1175,3.9878168,-75.946324,Colombia,763029,Kennedy,6614
